time,x,y,vx,vy,yaw
1716570058.895093,0.935167,0.228345,-1.145519,-1.189976,0.691383
1716570058.910050,0.918532,0.211357,-1.112239,-1.135795,0.676317
1716570058.920081,0.907246,0.200274,-1.125143,-1.104930,0.666214
1716570058.945045,0.887488,0.207828,-0.791448,0.302596,0.677587
1716570058.960070,0.911319,0.215886,1.586145,0.536309,0.710353
1716570058.970283,0.899991,0.205436,-1.109130,-1.023171,0.700704
1716570058.986668,0.936131,0.258668,2.205630,3.248742,0.788757
1716570059.010065,0.910434,0.237707,-1.098282,-0.895858,0.770446
1716570059.020048,0.915743,0.252535,0.000000,0.000000,0.777762
1716570059.036567,0.887883,0.244588,-1.686640,-0.481094,0.772336
1716570059.060060,0.912325,0.275140,1.040412,1.300451,0.827347
1716570059.086432,0.889695,0.272077,-0.858076,-0.116143,0.835107
1716570059.110059,0.863552,0.254247,-1.106524,-0.754635,0.818678
1716570059.120066,0.863258,0.255353,-0.029344,0.110507,0.826961
1716570059.130055,0.852139,0.248187,0.000000,0.000000,0.820015
1716570059.145038,0.872353,0.282016,1.349176,2.257896,0.889359
1716570059.160062,0.903362,0.331957,2.063995,3.324097,0.933107
1716570059.170049,0.917691,0.349523,0.000000,0.000000,0.968444
1716570059.186132,0.893439,0.343210,-1.507945,-0.392495,0.965152
1716570059.195076,0.883942,0.337826,0.000000,0.000000,0.960329
1716570059.210046,0.884142,0.350252,0.013339,0.830032,0.971200
1716570059.220072,0.873538,0.344435,-1.057694,-0.580278,0.965794
1716570059.236089,0.908767,0.383000,2.199436,2.407723,1.028918
1716570059.245253,0.899330,0.377504,0.000000,0.000000,1.023900
1716570059.260058,0.884031,0.368846,-1.033374,-0.584869,1.015794
1716570059.270050,0.886615,0.405141,0.000000,0.000000,1.024350
1716570059.280045,0.898718,0.426968,0.000000,0.000000,1.056066
1716570059.295117,0.902543,0.466989,0.253756,2.655357,1.073298
1716570059.310071,0.880844,0.453412,-1.450983,-0.907907,1.063394
1716570059.336298,0.876153,0.470474,-0.178873,0.650564,1.073632
1716570059.360054,0.879368,0.510705,0.135325,1.693510,1.098779
1716570059.370056,0.881798,0.523127,0.242893,1.241864,1.113319
1716570059.386369,0.878685,0.518211,-0.190836,-0.301393,1.102341
1716570059.395273,0.878111,0.524973,0.000000,0.000000,1.110886
1716570059.410063,0.863207,0.516296,-1.007651,-0.586656,1.102542
1716570059.420081,0.877038,0.560199,1.380539,4.382450,1.126540
1716570059.435435,0.860738,0.574244,-1.061559,0.914717,1.151042
1716570059.445041,0.851365,0.568158,0.000000,0.000000,1.145090
1716570059.460077,0.844141,0.585437,-0.480458,1.149253,1.143857
1716570059.470379,0.834173,0.579230,-0.967543,-0.602474,1.137474
1716570059.480047,0.851213,0.618389,0.000000,0.000000,1.171336
1716570059.495045,0.841049,0.637373,-0.677729,1.265772,1.163944
1716570059.510068,0.827965,0.625762,-0.870879,-0.772858,1.152075
1716570059.520048,0.826176,0.630488,0.000000,0.000000,1.154150
1716570059.530099,0.837200,0.657157,1.096817,2.653232,1.174122
1716570059.545052,0.817168,0.682711,-1.339788,1.709020,1.173451
1716570059.560058,0.810793,0.683305,-0.424806,0.039636,1.170029
1716570059.587061,0.785455,0.679444,-0.938329,-0.143015,1.165117
1716570059.610065,0.805362,0.731658,0.865408,2.269893,1.184968
1716570059.620049,0.797269,0.723518,0.000000,0.000000,1.176363
1716570059.630054,0.789102,0.715556,-0.816377,-0.795846,1.167742
1716570059.645047,0.781046,0.710400,-0.537275,-0.343876,1.155028
1716570059.660056,0.769682,0.696278,-0.757159,-0.940951,1.139509
1716570059.670050,0.805412,0.787246,0.000000,0.000000,1.143162
1716570059.686801,0.787554,0.766369,-1.066093,-1.246298,1.126234
1716570059.710344,0.772368,0.740105,-0.645050,-1.115584,1.098031
1716570059.720095,0.784054,0.765334,0.000000,0.000000,1.092966
1716570059.730053,0.777772,0.754703,0.000000,0.000000,1.081037
1716570059.748659,0.797894,0.803504,1.081516,2.622909,1.086529
1716570059.762321,0.790535,0.787034,-0.538682,-1.205457,1.068543
1716570059.778257,0.805735,0.805709,0.953848,1.171875,1.040990
1716570059.797781,0.777821,0.764456,-1.429780,-2.113015,1.001680
1716570059.822269,0.781032,0.755466,0.131114,-0.367109,0.972182
1716570059.832282,0.828527,0.819690,4.743432,6.414145,0.956463
