# x_m,y_m,w_tr_right_m,w_tr_left_m
2.6557,-0.0643,0.7500,0.7500
2.6057,-0.0643,0.7500,0.7500
2.5557,-0.0643,0.7500,0.7500
2.5057,-0.0643,0.7500,0.7500
2.4557,-0.0643,0.7500,0.7500
2.4057,-0.0643,0.7500,0.7500
2.3557,-0.0643,0.7500,0.7500
2.3057,-0.0643,0.7500,0.7500
2.2557,-0.0643,0.7500,0.7500
2.2057,-0.0643,0.7500,0.7500
2.1557,-0.0643,0.7500,0.7500
2.1057,-0.0643,0.7500,0.7500
2.0557,-0.0643,0.7433,0.7433
2.0057,-0.0643,0.7280,0.7280
1.9557,-0.0643,0.7159,0.7159
1.9057,-0.0643,0.7071,0.7071
1.8557,-0.0643,0.7018,0.7018
1.8057,-0.0643,0.7000,0.7000
1.7557,-0.0643,0.7000,0.7000
1.7057,-0.0643,0.7000,0.7000
1.6557,-0.0643,0.7000,0.7000
1.6057,-0.0643,0.7000,0.7000
1.5557,-0.0643,0.7000,0.7000
1.5057,-0.0643,0.7000,0.7000
1.4557,-0.0643,0.7000,0.7000
1.4057,-0.0643,0.7000,0.7000
1.3557,-0.0643,0.7000,0.7000
1.3057,-0.0643,0.7000,0.7000
1.2557,-0.0643,0.6964,0.6964
1.2057,-0.0643,0.6801,0.6801
1.1557,-0.0643,0.6671,0.6671
1.1057,-0.0643,0.6576,0.6576
1.0557,-0.1143,0.7018,0.7018
1.0057,-0.1143,0.7000,0.7000
0.9557,-0.1143,0.7000,0.7000
0.9057,-0.1143,0.7000,0.7000
0.8557,-0.1143,0.7000,0.7000
0.8057,-0.0643,0.6519,0.6519
0.7557,-0.0643,0.6576,0.6576
0.7057,-0.0643,0.6671,0.6671
0.6557,-0.0643,0.6801,0.6801
0.6057,-0.0643,0.6964,0.6964
0.5557,-0.0643,0.7000,0.7000
0.5057,-0.0643,0.7000,0.7000
0.4557,-0.0643,0.7000,0.7000
0.4057,-0.0143,0.6519,0.6519
0.3557,-0.0143,0.6576,0.6576
0.3057,-0.0143,0.6671,0.6671
0.2557,-0.0143,0.6801,0.6801
0.2057,-0.0143,0.6964,0.6964
0.1557,-0.0143,0.7071,0.7071
0.1057,0.0357,0.6671,0.6671
0.0557,0.0357,0.6801,0.6801
0.0057,0.0357,0.6964,0.6964
-0.0443,0.0857,0.6671,0.6671
-0.0943,0.0857,0.6801,0.6801
-0.1443,0.1357,0.6500,0.6500
-0.1943,0.1357,0.6708,0.6708
-0.2443,0.1857,0.6519,0.6519
-0.2943,0.1857,0.6801,0.6801
-0.3443,0.2357,0.6727,0.6727
-0.3943,0.2357,0.7071,0.7071
-0.4443,0.2857,0.7071,0.7071
-0.4943,0.2857,0.7433,0.7433
-0.5443,0.3357,0.7433,0.7433
-0.5943,0.3857,0.7433,0.7433
-0.6443,0.4357,0.7500,0.7500
-0.6943,0.4857,0.7632,0.7632
-0.7443,0.5357,0.7826,0.7826
-0.7943,0.5857,0.8062,0.8062
-0.7943,0.6357,0.7826,0.7826
-0.8443,0.6857,0.8078,0.8078
-0.8443,0.7357,0.7906,0.7906
-0.8943,0.7857,0.8246,0.8246
-0.8943,0.8357,0.8139,0.8139
-0.8943,0.8857,0.8062,0.8062
-0.9443,0.9357,0.8000,0.8000
-0.9443,0.9857,0.8000,0.8000
-0.9443,1.0357,0.8000,0.8000
-0.9443,1.0857,0.8000,0.8000
-0.9443,1.1357,0.8000,0.8000
-0.9443,1.1857,0.8000,0.8000
-0.9443,1.2357,0.8000,0.8000
-0.9443,1.2857,0.8000,0.8000
-0.9443,1.3357,0.8000,0.8000
-0.9443,1.3857,0.8000,0.8000
-0.9443,1.4357,0.8000,0.8000
-0.9443,1.4857,0.8000,0.8000
-0.9443,1.5357,0.8000,0.8000
-0.9443,1.5857,0.8000,0.8000
-0.9443,1.6357,0.8000,0.8000
-0.9443,1.6857,0.8000,0.8000
-0.9443,1.7357,0.8000,0.8000
-0.9443,1.7857,0.8000,0.8000
-0.9443,1.8357,0.8000,0.8000
-0.9443,1.8857,0.8000,0.8000
-0.9443,1.9357,0.8000,0.8000
-0.9443,1.9857,0.8000,0.8000
-0.9443,2.0357,0.8000,0.8000
-0.9443,2.0857,0.8000,0.8000
-0.9443,2.1357,0.8000,0.8000
-0.9443,2.1857,0.8000,0.8000
-0.9443,2.2357,0.8000,0.8000
-0.9443,2.2857,0.8000,0.8000
